item_id,qtde,forma_de_pagamento,parcelas,juros,desconto,preco_de_venda,frete_empresa,frete_cliente,frete_total,uf
PGRRM,1,Cartao,1,0,23.23,239.99,0.95379,34.20361,35.1574,ES
20057,1,Cartao,3,0,0,239.99,0.19992,29.93168,30.1316,SP
RLX27,1,Pix,1,0,18.83,239.99,0.13998,29.59202,29732,RS
RAG22,1,Cartao,3,0,56.33,239.99,226,33.0928,33.3188,PR
1188N,1,Pix,1,0,18.83,239.99,0.19992,29.93168,30.1316,SP
CRM47,1,Pix,1,0,23.23,239.99,0.19992,29.93168,30.1316,SP
RAG33,1,Cartao,2,0,56.33,239.99,0.089265,30.494835,30.5841,SC
CGM47,1,Pix,1,0,18.83,239.99,0.267795,30.316305,30.5841,SC
CGL47,1,Cartao,3,0,13.43,239.99,0.19992,29.93168,30.1316,SP
CLX54,1,Pix,1,0,27.63,239.99,0.173264,29.958336,30.1316,SP
44635,1,Cartao,3,0,0,239.99,0.19992,29.93168,30.1316,SP
REM10,1,Pix,1,0,24.35,239.99,0.783315,33.237585,34.0209,MG
44315,1,Cartao,3,0,0,239.99,678,32.6408,33.3188,PR
2403,1,Cartao,3,0,23.23,239.99,0.946515,34.162385,35.1089,PE
4248N,1,Boleto,1,0,23.23,239.99,0.13998,29.59202,29732,RS
0834T,1,Cartao,3,0,0,239.99,0.19992,29.93168,30.1316,SP
RTP06,1,Cartao,1,0,0,239.99,1.804845,39.026255,40.8311,MT
0343B,1,Pix,1,0,18.83,239.99,0.267795,30.316305,30.5841,SC
RTP26,1,Pix,1,0,23.23,239.99,0.753555,33.068945,33.8225,RJ
40350,1,Cartao,3,0,23.23,239.99,0.19992,29.93168,30.1316,SP
4148N,1,Pix,1,0,18.83,239.99,0.13998,29.59202,29732,RS
2565Z,1,Cartao,4,0,56.33,239.99,0.261105,33.759795,34.0209,MG
32203,1,Cartao,3,0,0,239.99,0.19992,29.93168,30.1316,SP
CEM41,1,Cartao,3,0,32.5,239.99,0.678873,33.342027,34.0209,MG
2555Z,1,Pix,1,0,24.35,239.99,0.19992,29.93168,30.1316,SP
RNC18,1,Pix,1,0,38.83,239.99,0.121316,29.610684,29732,RS
034H3,1,Pix,1,0,15.08,239.99,0.19992,29.93168,30.1316,SP
RGL35,1,Cartao,3,0,33.5,239.99,0.173264,29.958336,30.1316,SP
2265Z,1,Cartao,1,0,0,399.99,0.19992,49.13168,49.3316,SP
324D8,1,Pix,1,0,15.51,399.99,0.19992,49.13168,49.3316,SP
24803,1,Cartao,3,0,0,399.99,0.13998,48.79202,48932,RS
0243B,1,Pix,1,0,43.32,399.99,0.17853,49.60557,49.7841,SC
0086E,1,Cartao,3,0,23.23,399.99,0.753555,52.268945,53.0225,RJ
44705,1,Pix,1,0,23.23,399.99,0.13998,48.79202,48932,RS
33033,1,Cartao,3,0,13.5,399.99,678,51.8408,52.5188,PR
6003,1,Cartao,3,0,0,399.99,0.19992,49.13168,49.3316,SP
